product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link
195801664,Hoa Mộng Ảo,Higashino Keigo,129000,77400,63,Tiểu Thuyết,8,5,400,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/22/fa/03/f971284635e4519bcc69f6ed94460296.jpg
169262882,Combo 2 cuốn Giáo Trình Hán Ngữ (Sách học Tiếng Trung dành cho người Việt) Giáo Trình Hán Ngữ Tập 1 + Giáo Trình Hán Ngữ Tập 2 (Phiên bản mới - Học bằng App McBooks),,244000,170500,20,Sách Học Tiếng Hoa,1,5,,hong duc,https://salt.tikicdn.com/ts/product/18/22/67/b75072921579af860c36307d08487b27.jpg
189350061,Giá Mà Nỗi Buồn Có Thể Cầm Nắm Trên Tay - Tặng kèm 03 postcard,Rei,109000,80100,238,Sách nghệ thuật sống đẹp,45,5,176,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/3f/1d/e0/066db317d6f362a0b1308fbae200730a.jpg
14961285,Quốc Gia Khởi Nghiệp ( Tái Bản 2019 ),Dan Senor,209000,135850,329,Sách kinh tế học,51,4.8,508,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/e6/a1/a6/6e49e77800161303fbdb9439a3ff2b18.JPG
204269163,Sách Tết 2023 - Set Mở ra là thấy Tết (2 phiên bản Bắc Nam) kèm quà tặng cho bé 0-3-6 tuổi,,99000,85000,2,Truyện tranh thiếu nhi,0,0,40,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/2a/0c/b9/bbf8f99d62ac7a83ad0e2a5790147399.jpg
139296704,Không Thể Ngừng Suy Nghĩ: Bí Quyết Giải Tỏa Lo Âu Và Khai Phóng Tâm Trí ,Nancy Colier,99000,69001,720,Sách tư duy - Kỹ năng sống,105,4.8,208,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/1d/18/63/6e49a0bdee80c11653890876049ac1eb.jpg
580061,Ai Che Lưng Cho Bạn (Tái Bản 2017),Keith Ferrazzi,110000,68001,5710,Sách kỹ năng làm việc,246,4.8,424,,https://salt.tikicdn.com/ts/product/a4/0d/59/bc28f653827780b3967a4904fb6d0a9a.jpg
186290795,Chuyện Cổ Tích Dành Cho Người Lớn (Tái Bản 2022),Nguyễn Nhật Ánh,35000,25300,118,Truyện ngắn - Tản văn - Tạp Văn,16,4.6,156,NXB Trẻ,https://salt.tikicdn.com/ts/product/ef/27/00/24e9a84ef9255a2e34ecb4f31478e3fb.jpg
23956857,Từ Vựng Tiếng Anh Thực Hành - English Collocations In Use (Tái Bản),.,80000,80000,1047,Sách Học Tiếng Anh,222,4.8,226,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/71/1b/7b/48334959e91a021ac60df6228104b514.jpg
520330,Đất Máu Sicily (Mario Puzo),Mario Puzo,120000,69500,3709,Tác phẩm kinh điển,382,4.8,488,,https://salt.tikicdn.com/media/catalog/product/d/a/dat mau - bia 1.u335.d20160701.t101955.jpg
